"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.178526,0.00174222222222,0.00946135802469
0.1,0.178648,0.00163611111111,0.0311340123457
0.15,0.178648,0.00263266666667,0.0716601851852
0.2,0.17863,0.00854111111111,0.116449320988
0.25,0.17948,0.01563,0.139390925926
0.3,0.180225,0.0227255555556,0.153772283951
0.35,0.181681,0.0311066666667,0.161385493827
0.4,0.183328,0.0394577777778,0.156802160494
0.45,0.185651,0.0473827777778,0.141499074074
0.5,0.188182,0.0531866666667,0.133150617284
0.55,0.190903,0.0600055555556,0.137704320988
0.6,0.194162,0.0671672222222,0.140340740741
0.65,0.197647,0.0740444444444,0.142884567901
0.7,0.20153,0.0815155555556,0.142908950617
0.75,0.205812,0.0886594444444,0.136672222222
0.8,0.210423,0.0952822222222,0.128348765432
0.85,0.215363,0.101361666667,0.12260462963
0.9,0.220564,0.107325555556,0.12149691358
0.95,0.226094,0.113322222222,0.123939197531
1,0.231866,0.119825555556,0.124443209877
1.05,0.23809,0.126078888889,0.11930154321
1.1,0.244504,0.131721111111,0.11516882716
1.15,0.251265,0.137362777778,0.115716975309
1.2,0.258251,0.142886666667,0.122688580247
1.25,0.265462,0.149887777778,0.124822839506
1.3,0.27328,0.156199444444,0.112760493827
1.35,0.281185,0.160758333333,0.106752777778
1.4,0.289281,0.166400555556,0.108747839506
1.45,0.297827,0.171955,0.10656882716
1.5,0.306512,0.17703,0.104683641975
1.55,0.315509,0.182372222222,0.102258641975
1.6,0.324748,0.187516666667,0.0960342592593
1.65,0.3343,0.192085555556,0.0888080246914
1.7,0.344008,0.195694444444,0.0938311728395
1.75,0.35375,0.201403333333,0.100444753086
1.8,0.364203,0.206191111111,0.0992555555556
1.85,0.374344,0.211385,0.0975725308642
1.9,0.385387,0.215948888889,0.0954070987654
1.95,0.395961,0.220147222222,0.104110185185
2,0.407212,0.227273333333,0.0963521604938
2.05,0.418878,0.231029444444,0.0690422839506
2.1,0.430441,0.232736111111,0.0668608024691
2.15,0.442021,0.236517222222,0.0853231481481
2.2,0.453999,0.24195,0.0928527777778
2.25,0.466238,0.247076666667,0.0774854938272
2.3,0.478841,0.249788333333,0.0588540123457
2.35,0.491235,0.251972777778,0.0568163580247
2.4,0.503959,0.255298333333,0.0598391975309
2.45,0.516787,0.258344444444,0.0588543209877
2.5,0.529841,0.260826111111,0.0636413580247
2.55,0.542807,0.264328888889,0.0734030864198
2.6,0.556207,0.268907777778,0.0705163580247
2.65,0.569798,0.271838888889,0.0598824074074
2.7,0.583424,0.274205555556,0.0602074074074
2.75,0.597153,0.277545555556,0.0659787037037
2.8,0.61116,0.281284444444,0.063525308642
2.85,0.625323,0.284212222222,0.0550148148148
2.9,0.63959,0.286839444444,0.0467734567901
2.95,0.654082,0.288282777778,0.0505885802469
3,0.668349,0.291025555556,0.0697950617284
3.05,0.683066,0.295879444444,0.0783398148148
3.1,0.698009,0.299667222222,0.0714929012346
3.15,0.713056,0.30299,0.0625456790123
3.2,0.728311,0.305954444444,0.052487654321
3.25,0.743687,0.308188333333,0.0449716049383
3.3,0.75915,0.310096111111,0.0448030864198
3.35,0.774682,0.312285555556,0.0513089506173
3.4,0.790319,0.315454444444,0.0538487654321
3.45,0.80625,0.318260555556,0.0462222222222
3.5,0.822215,0.319868888889,0.0413805555556
3.55,0.838198,0.322022777778,0.0425765432099
3.6,0.854407,0.324354444444,0.039274382716
3.65,0.87065,0.326210555556,0.0310237654321
3.7,0.887032,0.327872222222,0.0166450617284
3.75,0.903569,0.327254444444,0.0142163580247
3.8,0.919656,0.328356666667,0.0295697530864
3.85,0.93635,0.330582222222,0.0398441358025
3.9,0.952749,0.332468888889,0.0464842592593
3.95,0.969512,0.335696111111,0.0434070987654
4,0.986414,0.337256666667,0.0326546296296
4.05,1.003281,0.338201111111,0.0331601851852
4.1,1.020131,0.340542777778,0.0332200617284
4.15,1.037345,0.342593888889,0.0170709876543
4.2,1.054559,0.341888888889,0.00771820987654
4.25,1.071478,0.342060555556,0.0200592592593
4.3,1.08864,0.344291111111,0.0257919753086
4.35,1.105957,0.345648888889,0.0147367283951
4.4,1.123275,0.345864444444,0.00152962962963
4.45,1.14061,0.344797777778,0.00540864197531
4.5,1.157616,0.346043333333,0.0173225308642
4.55,1.175229,0.347217222222,0.0188432098765
4.6,1.192391,0.347711666667,0.0224262345679
4.65,1.209916,0.349512777778,0.0228333333333
4.7,1.227373,0.350622222222,0.0126077160494
4.75,1.245037,0.350768333333,0.00251462962962
4.8,1.262477,0.350295,0.00220361111107
4.85,1.280002,0.350861111111,0.00496083333322
4.9,1.29758,0.351138,0.00245935185159
4.95,1.315141,0.351096944444,3.60802465422E-005
5,1.332684,0.350978888889,-0.00158006172882
