"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.165548,0.0168922222222,-0.164061234568
0.1,0.166651,0.00897944444444,-0.15297904321
0.15,0.166979,-0.000331333333333,-0.113176481481
0.2,0.166531,-0.00787722222222,0.00317148148148
0.25,0.165116,0.00271055555556,0.0586772222222
0.3,0.167031,0.00900666666667,-0.0845748765432
0.35,0.166996,-0.00485777777778,-0.204570679012
0.4,0.166979,-0.0237772222222,-0.0180950617284
0.45,0.164927,-0.0367511111111,0.74475617284
0.5,0.158822,0.0373355555556,1.72205092593
0.55,0.165565,0.172192777778,2.00855833333
0.6,0.178585,0.268401111111,1.67022098765
0.65,0.19364,0.337803888889,1.26132808642
0.7,0.21292,0.388372777778,0.95932962963
0.75,0.23308,0.426035,0.838717283951
0.8,0.255309,0.466454444444,0.851136111111
0.85,0.279504,0.510746111111,0.890205246914
0.9,0.306355,0.556530555556,0.915891358025
0.95,0.335137,0.602975555556,0.927494753086
1,0.366678,0.649235555556,0.93727345679
1.05,0.400031,0.696231111111,0.951405864198
1.1,0.436177,0.745145,0.949380246914
1.15,0.474616,0.792695,0.920420061728
1.2,0.515643,0.836717777778,0.898994753086
1.25,0.558238,0.881238333333,0.902833333333
1.3,0.603714,0.926815,0.912242901235
1.35,0.650914,0.972521666667,0.920700617284
1.4,0.700873,1.01989,0.910952160494
1.45,0.753109,1.06366555556,0.898703703704
1.5,0.807138,1.10902222222,0.897987037037
1.55,0.864013,1.15403555556,0.88904537037
1.6,0.92263,1.19775,0.883859567901
1.65,0.983747,1.24198833333,0.88484537037
1.7,1.046795,1.28665333333,0.879225925926
1.75,1.112482,1.33014444444,0.869807098765
1.8,1.179825,1.37328722222,0.865628703704
1.85,1.249789,1.41662555556,0.862832716049
1.9,1.321494,1.45978611111,0.855667901235
1.95,1.395804,1.50239166667,0.840633641975
