"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.268836,0.00299444444444,-0.010797037037
0.1,0.268974,0.00276722222222,-0.0188228703704
0.15,0.269182,0.00173033333333,-0.0286662962963
0.2,0.269251,-0.000885555555555,-0.0259775925926
0.25,0.268974,-0.00166166666667,-0.00868944444444
0.3,0.269009,-0.000968888888889,-0.00175450617284
0.35,0.269009,-0.00202888888889,0.0081
0.4,0.26868,-0.000846111111111,0.0264154320988
0.45,0.268836,0.00175888888889,0.0230867283951
0.5,0.268974,0.00232777777778,0.00321604938272
0.55,0.269113,0.00190611111111,-0.015149382716
0.6,0.269217,0.000217222222222,-0.0213429012346
0.65,0.269095,-0.000755,-0.0146481481481
0.7,0.269147,-0.00157833333333,-0.000508950617286
0.75,0.26887,-0.00099,0.0154632716049
0.8,0.268974,0.000809444444444,0.0151391975309
0.85,0.269026,0.00132833333333,0.000164814814816
0.9,0.269199,0.000311111111111,-0.00824783950617
0.95,0.268992,-3.77777777778E-005,-0.00733395061729
1,0.269147,0.000346666666667,-0.0154299382716
1.05,0.269217,-0.00215277777778,-0.0121268518519
1.1,0.268801,-0.00226833333333,0.0128404320988
1.15,0.268819,0.000327777777778,0.0165438271605
1.2,0.268957,0.000921111111111,-0.00540987654321
1.25,0.269061,-0.000973333333333,-0.0157265432099
1.3,0.268801,-0.00211777777778,-0.000995987654322
1.35,0.268697,-0.000632222222222,0.00795216049383
1.4,0.268819,-0.000346111111111,-0.000400308641974
1.45,0.268697,-0.000733333333333,-0.00977962962963
1.5,0.268749,-0.00143,-0.0169549382716
1.55,0.268594,-0.00284722222222,-0.0140808641975
1.6,0.26842,-0.00332111111111,-0.000285185185185
1.65,0.268247,-0.00320111111111,0.0193009259259
1.7,0.268005,-0.00126833333333,0.0347157407407
1.75,0.268074,0.00145333333333,0.0277682098765
1.8,0.268282,0.001935,0.0112478395062
1.85,0.268282,0.00198277777778,0.00224598765432
1.9,0.268438,0.00228,-0.00825802469136
1.95,0.268559,0.001635,-0.0236132716049
2,0.268715,-0.000875555555556,-0.0230688271605
2.05,0.268386,-0.00184944444444,-0.000777469135803
2.1,0.26842,-0.000672222222222,0.0167472222222
2.15,0.268317,0.000675555555556,0.0174913580247
2.2,0.26849,0.00192888888889,0.00114382716049
2.25,0.268645,0.000641666666667,-0.0131836419753
2.3,0.268524,-0.000274444444445,-0.0102833333333
2.35,0.268594,-0.000678888888889,-5.15432098763E-005
2.4,0.268438,-0.000509444444444,0.0135083333333
2.45,0.268438,0.00136555555556,0.0137330246914
2.5,0.268663,0.00177944444444,-0.00253641975309
2.55,0.268715,0.000395,-0.00760987654321
2.6,0.268594,0.000623333333334,-0.00434259259259
2.65,0.268836,9.22222222222E-005,-0.00228641975309
2.7,0.268576,1.77777777779E-005,0.00469012345679
2.75,0.268732,0.00155888888889,-0.00506358024691
2.8,0.26894,-0.000377777777778,-0.0153799382716
2.85,0.268645,-0.00135944444444,-0.00235370370371
2.9,0.268697,-0.000576111111111,0.00992561728395
2.95,0.268576,0.000455,0.00874413580247
3,0.268784,0.000877777777778,-0.0026274691358
3.05,0.268784,-0.000671666666667,-0.00116141975309
3.1,0.268559,0.000213333333333,0.00881327160494
3.15,0.268767,0.00168277777778,-0.00489444444444
3.2,0.26894,-0.00037,-0.0167524691358
3.25,0.268645,-0.00112777777778,-0.00867530864198
3.3,0.268801,-0.00131388888889,0.00206635802469
3.35,0.26849,-0.000949444444445,0.0127543209877
3.4,0.268611,0.000989444444444,0.00532716049383
3.45,0.268784,-0.000281111111111,-0.00536759259259
3.5,0.268524,-0.000682222222222,0.00207901234568
3.55,0.268611,0.000551111111111,-0.000181172839505
3.6,0.268715,-0.000432222222222,-0.00623518518518
3.65,0.268507,-0.000432222222222,-0.00594691358025
3.7,0.268715,-0.00113333333333,-0.00299598765432
3.75,0.268369,-0.00130111111111,0.00972407407407
3.8,0.268472,0.00048,0.0110561728395
3.85,0.268542,0.000241666666667,0.00335308641975
3.9,0.268455,0.000529444444444,-0.00123888888889
3.95,0.268594,0.000595555555555,-0.0129716049383
4,0.268628,-0.00123277777778,-0.0148564814815
4.05,0.268386,-0.00157777777778,-0.00376419753086
4.1,0.268455,-0.00155055555556,0.00726080246914
4.15,0.268195,-0.0007,0.0150462962963
4.2,0.268369,0.000500555555556,0.0110691358025
4.25,0.268299,0.000565,0.00322530864197
4.3,0.268403,0.000962222222222,-0.00655956790123
4.35,0.268507,-0.000576666666667,-0.00816666666667
4.4,0.26823,-0.00027,-0.00259537037037
4.45,0.268472,7.94444444445E-005,-0.0114293209877
4.5,0.268369,-0.00165277777778,-0.0160533950617
4.55,0.26823,-0.00216666666667,-0.0103922839506
4.6,0.268126,-0.00239555555556,-0.00726512345679
4.65,0.268022,-0.00288111111111,-0.000818518518517
4.7,0.267867,-0.00340944444444,0.0215586419753
4.75,0.267538,-0.00129777777778,0.051224382716
4.8,0.26759,0.00339222222222,0.0496140432099
4.85,0.268057,0.00502555555556,0.0212834876543
4.9,0.268178,0.00487333333333,0.00199953703704
4.95,0.268524,0.00466583333333,-0.00871697530864
5,0.268663,0.00368,-0.0153311728395
