"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.25,0.268299,0.00293444444444,0.079367191358
0.3,0.268645,0.00940333333333,0.11132882716
0.35,0.269337,0.0149466666667,0.124958950617
0.4,0.270082,0.0215955555556,0.138746296296
0.45,0.271415,0.0295588888889,0.138599691358
0.5,0.273164,0.0356061111111,0.134756481481
0.55,0.274912,0.0425594444444,0.137811111111
0.6,0.277388,0.0499494444444,0.133080246914
0.65,0.280037,0.0554416666667,0.135405246914
0.7,0.282807,0.0629172222222,0.145656790123
0.75,0.28627,0.07123,0.136252777778
0.8,0.290114,0.0766138888889,0.126163580247
0.85,0.293888,0.0826533333333,0.135912654321
0.9,0.298286,0.0902994444444,0.144426851852
0.95,0.302943,0.0975794444444,0.144328703704
1,0.308016,0.105341666667,0.132598765432
1.05,0.313608,0.11068,0.123413271605
1.1,0.319027,0.116945555556,0.128229320988
1.15,0.325295,0.123487777778,0.133228395062
1.2,0.331355,0.130283333333,0.136983641975
1.25,0.338245,0.138297222222,0.122361111111
1.3,0.345431,0.142261111111,0.111689506173
1.35,0.352356,0.148018888889,0.124284567901
1.4,0.360095,0.155802222222,0.120558333333
1.45,0.368146,0.160477222222,0.110854012346
1.5,0.37611,0.165585555556,0.120734876543
1.55,0.384542,0.173203888889,0.120548765432
1.6,0.393597,0.178193333333,0.112145987654
1.65,0.40234,0.183628333333,0.115437654321
1.7,0.411897,0.189866666667,0.116158024691
1.75,0.421351,0.195676666667,0.111512037037
1.8,0.431514,0.200895,0.108577469136
1.85,0.441452,0.205748333333,0.117875
1.9,0.451926,0.2133,0.117795061728
1.95,0.462955,0.218122777778,0.106985802469
2,0.473724,0.223058333333,0.10999691358
2.05,0.485134,0.229847777778,0.101647222222
2.1,0.496907,0.233346111111,0.093537345679
2.15,0.508403,0.238079444444,0.105035493827
2.2,0.520661,0.243805,0.116583641975
2.25,0.532746,0.250165,0.119814506173
2.3,0.545645,0.257040555556,0.100812962963
2.35,0.558682,0.259845,0.088525
2.4,0.571511,0.264595555556,0.0991901234568
2.45,0.585102,0.270051111111,0.105522839506
2.5,0.59852,0.275496666667,0.104965740741
2.55,0.612613,0.281483888889,0.0869037037037
2.6,0.626863,0.283955,0.0726429012346
2.65,0.640921,0.28781,0.0753546296296
2.7,0.655638,0.291620555556,0.0782833333333
2.75,0.670095,0.295501666667,0.0849388888889
2.8,0.685157,0.300091666667,0.0894561728395
2.85,0.700082,0.304758888889,0.0874398148148
2.9,0.715612,0.309758333333,0.0710089506173
2.95,0.731281,0.311102777778,0.066687962963
3,0.746551,0.315208888889,0.08105
3.05,0.762687,0.320871111111,0.0688611111111
3.1,0.778876,0.322738333333,0.0478608024691
3.15,0.795012,0.323793888889,0.0571740740741
3.2,0.811062,0.32787,0.0773166666667
3.25,0.827752,0.332963888889,0.0747793209877
3.3,0.844511,0.335658888889,0.0654015432099
3.35,0.861288,0.338749444444,0.0666527777778
3.4,0.878342,0.342374444444,0.0672956790123
3.45,0.895534,0.345933333333,0.0606080246914
3.5,0.912986,0.348496666667,0.0526311728395
3.55,0.930387,0.350927777778,0.0502407407407
3.6,0.948098,0.353118333333,0.0549910493827
3.65,0.965637,0.356303888889,0.061625
3.7,0.983695,0.360101111111,0.0538216049383
3.75,1.00177,0.361718888889,0.0447277777778
3.8,1.019811,0.364203333333,0.042000308642
3.85,1.038233,0.365816666667,0.0425885802469
3.9,1.05636,0.36817,0.0493527777778
3.95,1.075041,0.370817777778,0.0530462962963
4,1.093411,0.373763888889,0.0502962962963
4.05,1.112404,0.376862222222,0.0303790123457
4.1,1.131311,0.376205,0.0211413580247
4.15,1.149888,0.377845,0.032012037037
4.2,1.169071,0.379800555556,0.0380141975309
4.25,1.187874,0.381917222222,0.0405052469136
4.3,1.207282,0.383860555556,0.0407530864198
4.35,1.226258,0.385671111111,0.0449561728395
4.4,1.245753,0.389096111111,0.0361092592593
4.45,1.265335,0.389528888889,0.0229212962963
4.5,1.284657,0.390766666667,0.0202438271605
4.55,1.304429,0.391475555556,0.0200762345679
4.6,1.323785,0.392670555556,0.0230404320988
4.65,1.343696,0.393866666667,0.0243916666667
4.7,1.363174,0.395085,0.0258172839506
4.75,1.383188,0.396526666667,0.0255474691358
4.8,1.402839,0.397788333333,0.0225870061728
4.85,1.422992,0.398653333333,0.0200520679011
4.9,1.44266,0.399966,0.0139604629627
4.95,1.463021,0.400740277778,-0.00354219135843
5,1.482862,0.398938888889,-0.0211203086424
