"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.266904,0.00300777777778,-0.00525487654321
0.1,0.267059,0.00282972222222,-0.00968354938272
0.15,0.26718,0.00257733333333,-0.0183228703704
0.2,0.267388,0.00117222222222,-0.0280649074074
0.25,0.267353,-0.001135,-0.0208787345679
0.3,0.26718,-0.00168833333333,0.000205185185186
0.35,0.267094,-0.000543888888889,0.0112385802469
0.4,0.267146,0.000356666666667,0.00551574074074
0.45,0.267198,7.33333333332E-005,-0.001775
0.5,0.26718,-0.000628333333333,0.00524475308642
0.55,0.267059,5.83333333334E-005,0.0218358024691
0.6,0.267111,0.002175,0.026612037037
0.65,0.267319,0.00357666666667,0.0134175925926
0.7,0.267509,0.00392111111111,-0.00870617283951
0.75,0.267786,0.00266166666667,-0.028362345679
0.8,0.267855,-1.66666666687E-006,-0.0266481481481
0.85,0.267682,-0.000847777777778,-0.00851975308642
0.9,0.267699,-0.000298888888889,0.000545679012347
0.95,0.267682,-0.000145,-0.00289783950617
1,0.267699,-0.000319444444444,-0.0119910493827
1.05,0.267716,-0.00172777777778,-0.0131765432099
1.1,0.267492,-0.00239277777778,0.000524382716049
1.15,0.267422,-0.001905,0.0183330246914
1.2,0.267232,-7.66666666667E-005,0.0264070987654
1.25,0.267422,0.00166555555556,0.0160314814815
1.3,0.267492,0.001655,0.00121203703704
1.35,0.267578,0.00152666666667,-0.00939228395062
1.4,0.267682,0.000583888888889,-0.0160367283951
1.45,0.267647,-0.000455,-0.0156962962963
1.5,0.267595,-0.000981111111111,-0.0150793209877
1.55,0.267543,-0.00145722222222,-0.0203728395062
1.6,0.267561,-0.00356166666667,-0.0145604938272
1.65,0.267111,-0.00415944444444,0.0120558641975
1.7,0.266973,-0.00174888888889,0.0277975308642
1.75,0.26699,-4.05555555556E-005,0.019462345679
1.8,0.267059,0.000154444444444,0.00908765432099
1.85,0.26699,0.00036,0.00626604938272
1.9,0.267077,0.000782222222222,0.00395030864197
1.95,0.267077,0.001,-0.00274845679012
2,0.267198,0.000758333333333,-0.0146509259259
2.05,0.267198,-0.000501666666667,-0.0257330246914
2.1,0.267146,-0.00199277777778,-0.0297675925926
2.15,0.267059,-0.00417166666667,-0.017562962963
2.2,0.266696,-0.00526222222222,0.0194080246914
2.25,0.266247,-0.00149,0.0409669753086
2.3,0.266592,0.001535,0.015849382716
2.35,0.266696,-0.000285555555556,-0.00482222222222
2.4,0.266489,-0.00108555555556,0.00864351851852
2.45,0.266402,0.000987222222222,0.0162848765432
2.5,0.266644,0.00221111111111,-0.00362314814815
2.55,0.266783,0.000585,-0.0232919753086
2.6,0.266713,-0.00143388888889,-0.0181484567901
2.65,0.266575,-0.00214222222222,0.0059237654321
2.7,0.266402,-0.000817777777778,0.0294570987654
2.75,0.266419,0.00195166666667,0.0298385802469
2.8,0.266679,0.00322888888889,0.00761481481481
2.85,0.266817,0.00277444444444,-0.0173317901235
2.9,0.267007,0.00110555555556,-0.0328780864198
2.95,0.26699,-0.00161055555556,-0.0259725308642
3,0.266731,-0.00221833333333,-0.00461759259259
3.05,0.266696,-0.00142222222222,0.00635771604938
3.1,0.266627,-0.00101666666667,0.00649259259259
3.15,0.26661,-0.000865555555555,0.00611203703704
3.2,0.266523,-0.000500555555556,0.00670586419753
3.25,0.266558,-8.72222222222E-005,0.00529783950617
3.3,0.266523,0.000133333333333,0.0015962962963
3.35,0.266575,0.000193333333333,-0.00416049382716
3.4,0.266575,-0.000362222222222,-0.0078549382716
3.45,0.266541,-0.000932222222222,-0.00512407407407
3.5,0.266454,-0.000994444444444,-0.000242283950619
3.55,0.266419,-0.000712777777778,0.00119259259259
3.6,0.266402,-0.000681666666667,0.000925308641977
3.65,0.266402,-0.00125944444444,0.0116070987654
3.7,0.266177,-4.88888888888E-005,0.0293796296296
3.75,0.266298,0.00281666666667,0.0257145061728
3.8,0.266575,0.003615,0.00148641975309
3.85,0.266748,0.00259555555556,-0.0168231481481
3.9,0.266852,0.00106444444444,-0.017912654321
3.95,0.266834,6.61111111112E-005,-0.00535709876543
4,0.266748,0.000876111111111,0.000341049382715
4.05,0.266921,0.00155555555556,-0.0180382716049
4.1,0.267111,-0.00121277777778,-0.0303716049383
4.15,0.266765,-0.00336388888889,-0.00970925925926
4.2,0.266592,-0.00231444444444,0.0148030864198
4.25,0.266523,-0.000756111111111,0.0198981481481
4.3,0.266558,0.000249444444444,0.011987962963
4.35,0.266592,0.000344444444444,0.0023549382716
4.4,0.266575,0.000403888888889,-0.00706388888889
4.45,0.266644,0.000154444444444,-0.0266663580247
4.5,0.266696,-0.00219722222222,-0.051224382716
4.55,0.266368,-0.00442111111111,-0.0854537037037
4.6,0.266419,-0.0100433333333,-0.124066666667
4.65,0.265589,-0.0193377777778,-0.108585802469
4.7,0.264275,-0.0243211111111,-0.0241336419753
4.75,0.26284,-0.0225438888889,0.079872037037
4.8,0.261768,-0.0147833333333,0.152990339506
4.85,0.261284,-0.00478666666667,0.171647561728
4.9,0.261318,0.004233,0.149486759259
4.95,0.261854,0.0105675,0.115885
5,0.262667,0.0141633333333,0.090115
