"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.15,0.268929,-0.000685,0.0228786111111
0.2,0.26905,0.00234388888889,0.047375462963
0.25,0.269292,0.00401666666667,0.0742597222222
0.3,0.269292,0.00884388888889,0.114232407407
0.35,0.270019,0.0165794444444,0.134387037037
0.4,0.271074,0.0228338888889,0.143269753086
0.45,0.272233,0.0303983333333,0.156356481481
0.5,0.274032,0.0391855555556,0.155884876543
0.55,0.276247,0.0465072222222,0.145932716049
0.6,0.278703,0.0533372222222,0.142345061728
0.65,0.28154,0.0606822222222,0.141259259259
0.7,0.284827,0.0672961111111,0.143685802469
0.75,0.288218,0.0747127777778,0.15107345679
0.8,0.292231,0.0832055555556,0.145685185185
0.85,0.296694,0.0892616666667,0.140216666667
0.9,0.301088,0.0963461111111,0.148816049383
0.95,0.306243,0.104825555556,0.147087345679
1,0.31171,0.111082777778,0.145724074074
1.05,0.317263,0.118875,0.15332191358
1.1,0.323612,0.126492777778,0.159917901235
1.15,0.329891,0.13468,0.168038888889
1.2,0.337001,0.144072222222,0.160322839506
1.25,0.344405,0.151464444444,0.13849691358
1.3,0.352207,0.157569444444,0.123010185185
1.35,0.360182,0.163166111111,0.120099691358
1.4,0.368521,0.168853888889,0.132116049383
1.45,0.376963,0.176438333333,0.145008024691
1.5,0.3862,0.18377,0.150256790123
1.55,0.395334,0.191221666667,0.1573
1.6,0.405229,0.200172222222,0.152169135802
1.65,0.415505,0.206623333333,0.142402777778
1.7,0.425833,0.213818888889,0.140925617284
1.75,0.436835,0.221581111111,0.126543518519
1.8,0.448183,0.226196666667,0.119251234568
1.85,0.459376,0.232194444444,0.135040740741
1.9,0.471312,0.239837222222,0.148624074074
1.95,0.483353,0.247700555556,0.150052469136
2,0.496068,0.255768888889,0.133938580247
2.05,0.509094,0.260832777778,0.122229012346
2.1,0.522086,0.266991111111,0.128888580247
2.15,0.535769,0.273632222222,0.137258641975
2.2,0.549401,0.281054444444,0.139424074074
2.25,0.563863,0.288648333333,0.122960493827
2.3,0.578464,0.292817777778,0.115293209877
2.35,0.593012,0.299171111111,0.125039814815
2.4,0.608357,0.305833333333,0.127854012346
2.45,0.623632,0.312118333333,0.128736419753
2.5,0.639565,0.318576111111,0.129728395062
2.55,0.65548,0.324985555556,0.131442592593
2.6,0.672001,0.332415,0.122097839506
2.65,0.688885,0.337132222222,0.113363888889
2.7,0.705648,0.342838333333,0.119111111111
2.75,0.723085,0.349787777778,0.112752160494
2.8,0.740765,0.354414444444,0.101921604938
2.85,0.758497,0.359487222222,0.0991728395062
2.9,0.77673,0.364118888889,0.101225308642
2.95,0.794877,0.369454444444,0.107047222222
3,0.813664,0.375009444444,0.109465740741
3.05,0.832382,0.380503333333,0.110484259259
3.1,0.851722,0.386036111111,0.111125617284
3.15,0.870993,0.391333888889,0.11548117284
3.2,0.890766,0.398112222222,0.110965432099
3.25,0.910937,0.402697222222,0.10077962963
3.3,0.931004,0.407608888889,0.0991938271605
3.35,0.951642,0.413252777778,0.0877111111111
3.4,0.972488,0.416212777778,0.0802101851852
3.45,0.993178,0.420581111111,0.0846787037037
3.5,1.014542,0.424905555556,0.0866719135803
3.55,1.035682,0.429230555556,0.0892895061729
3.6,1.057444,0.433862222222,0.0903135802469
3.65,1.079068,0.438468888889,0.0877166666667
3.7,1.101315,0.442660555556,0.084625
3.75,1.123337,0.446735555556,0.0854675925926
3.8,1.145982,0.451095555556,0.0875058641975
3.85,1.168436,0.455455555556,0.0887009259259
3.9,1.191461,0.460828888889,0.0756854938272
3.95,1.214711,0.462994444444,0.0626021604938
4,1.237702,0.465945555556,0.0680234567901
4.05,1.261194,0.470569444444,0.0617663580247
4.1,1.284929,0.472387777778,0.052537345679
4.15,1.308387,0.475046111111,0.0559401234568
4.2,1.332415,0.477873333333,0.0611540123457
4.25,1.356133,0.481488333333,0.0610768518518
4.3,1.380594,0.484511111111,0.051899382716
4.35,1.404657,0.486296666667,0.0499413580247
4.4,1.429187,0.488834444444,0.0586413580247
4.45,1.453475,0.492306666667,0.064362345679
4.5,1.478386,0.496402777778,0.0504138888889
4.55,1.503297,0.497277777778,0.0362283950617
4.6,1.528035,0.499305,0.0341265432099
4.65,1.55324,0.50089,0.0307697530864
4.7,1.578151,0.502175555556,0.0330456790123
4.75,1.603442,0.503906111111,0.0388768518518
4.8,1.628509,0.506068333333,0.0423097222222
4.85,1.653973,0.509325,0.0244464506171
4.9,1.679645,0.508943333333,-0.000572129629995
4.95,1.704902,0.507974166667,-0.00524583333386
5,1.730332,0.5081,-0.0029138888895
