"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.189585,-0.00150555555556,0.0441307407407
0.1,0.189413,0.000802222222222,0.0405252777778
0.15,0.189603,0.002857,0.0336257407407
0.2,0.189724,0.00435444444444,0.0245791975309
0.25,0.190069,0.00532277777778,0.0180667283951
0.3,0.190328,0.00522055555556,0.0313501234568
0.35,0.190484,0.00729,0.0671635802469
0.4,0.190915,0.0122283333333,0.0992589506173
0.45,0.191692,0.0179605555556,0.117365740741
0.5,0.192694,0.0242655555556,0.127270987654
0.55,0.19411,0.0308188888889,0.132526234568
0.6,0.195768,0.0375572222222,0.135375308642
0.65,0.197841,0.0446661111111,0.13174382716
0.7,0.200276,0.0510338888889,0.121756790123
0.75,0.20297,0.0567061111111,0.114249691358
0.8,0.205941,0.0624527777778,0.108424691358
0.85,0.209291,0.0669344444444,0.113931790123
0.9,0.212504,0.0736316666667,0.124042901235
0.95,0.216683,0.0799822222222,0.12359691358
1,0.220552,0.0856727777778,0.126275925926
1.05,0.225146,0.0928933333333,0.121838888889
1.1,0.229912,0.0986805555556,0.104328703704
1.15,0.235111,0.102884444444,0.0950969135802
1.2,0.240188,0.107165,0.103457098765
1.25,0.245715,0.113377222222,0.109625617284
1.3,0.251553,0.119035555556,0.100669753086
1.35,0.257684,0.123616111111,0.0894024691358
1.4,0.263987,0.126976666667,0.095400308642
1.45,0.270257,0.132505,0.112627469136
1.5,0.277165,0.139236111111,0.113580555556
1.55,0.28428,0.144496111111,0.103261728395
1.6,0.291672,0.14879,0.103108024691
1.65,0.299047,0.154701111111,0.102983950617
1.7,0.307147,0.160274444444,0.0837456790123
1.75,0.31523,0.163139444444,0.0655864197531
1.8,0.323502,0.165317222222,0.0753009259259
1.85,0.331637,0.169711666667,0.103584259259
1.9,0.340358,0.176428888889,0.119144444444
1.95,0.349322,0.182629444444,0.114212654321
2,0.358648,0.188251111111,0.098300617284
2.05,0.368199,0.192537777778,0.0804287037037
2.1,0.377939,0.196021666667,0.070012654321
2.15,0.387853,0.198699444444,0.0759447530864
2.2,0.397714,0.203055555556,0.0926725308642
2.25,0.408077,0.208783888889,0.0990345679012
2.3,0.418698,0.212908333333,0.113484876543
2.35,0.429406,0.217928333333,0.162155864198
2.4,0.440235,0.227922222222,0.206945987654
2.45,0.451564,0.246072222222,0.109442901235
2.5,0.465691,0.247946111111,-0.132414197531
2.55,0.477936,0.222878333333,-0.19191882716
2.6,0.486934,0.214840555556,0.000989197530865
2.65,0.498264,0.227572777778,0.135244444444
2.7,0.510129,0.235916666667,0.13477191358
2.75,0.522011,0.241691111111,0.0994993827161
2.8,0.534342,0.245262777778,0.068774691358
2.85,0.546639,0.247136111111,0.0685317901235
2.9,0.558936,0.251134444444,0.0876095679012
2.95,0.571664,0.256708888889,0.0931154320988
3,0.584669,0.261375555556,0.0799111111111
3.05,0.597847,0.264895,0.0610333333333
3.1,0.611197,0.267423888889,0.0454108024691
3.15,0.624685,0.268432777778,0.0497929012346
3.2,0.637932,0.271387777778,0.0722515432099
3.25,0.651696,0.276571666667,0.0792648148148
3.3,0.665686,0.280297777778,0.0679734567901
3.35,0.679779,0.283076111111,0.0581098765432
3.4,0.693958,0.285980555556,0.0501141975309
3.45,0.708396,0.288466666667,0.0389962962963
3.5,0.722921,0.289155555556,0.0418145061728
3.55,0.737203,0.291688888889,0.0613145061728
3.6,0.751987,0.296077777778,0.0678191358025
3.65,0.766909,0.299050555556,0.0620882716049
3.7,0.781865,0.302295,0.0524033950617
3.75,0.79715,0.304867777778,0.0333858024691
3.8,0.812469,0.305422777778,0.0210361111111
3.85,0.827719,0.305625,0.0327478395062
3.9,0.842883,0.308298888889,0.0521416666667
3.95,0.858495,0.312088888889,0.0506419753086
4,0.874229,0.313692777778,0.0412277777778
4.05,0.889824,0.315737777778,0.0384966049383
4.1,0.9058,0.317695,0.0350200617284
4.15,0.921654,0.318806666667,0.0401830246914
4.2,0.937595,0.321419444444,0.0497617283951
4.25,0.953778,0.324325,0.0496691358025
4.3,0.970064,0.326740555556,0.0415941358025
4.35,0.986471,0.328507222222,0.0319095679012
4.4,1.002913,0.330107777778,0.021825308642
4.45,1.019596,0.329971111111,0.0259024691358
4.5,1.035813,0.331613333333,0.0473648148148
4.55,1.0526,0.335817222222,0.0489567901235
4.6,1.069525,0.337885,0.0258941358025
4.65,1.086503,0.337817222222,0.0110657407407
4.7,1.103255,0.338246666667,0.0110456790123
4.75,1.120336,0.338680555556,0.0188598148148
4.8,1.137106,0.339686666667,0.0347496604938
4.85,1.154204,0.342524444444,0.0427437345678
4.9,1.171388,0.344751,0.0361078703701
4.95,1.188728,0.346258611111,0.0262558024688
5,1.206085,0.346872222222,0.018037716049
