"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.188915,0.000353333333333,-0.0220603703704
0.1,0.188966,-0.000643333333333,-0.0202058333333
0.15,0.188966,-0.002377,-0.00956907407407
0.2,0.188621,-0.00234,0.0122140123457
0.25,0.188621,-0.000329444444444,0.0196937654321
0.3,0.188672,0.000431666666667,0.0117742592593
0.35,0.18869,0.000685555555556,0.00446882716049
0.4,0.188742,0.000672777777778,0.000874382716049
0.45,0.188759,0.000643333333333,0.00102438271605
0.5,0.188811,0.000615555555556,0.00392067901235
0.55,0.188794,0.00107277777778,0.00440308641975
0.6,0.188897,0.00162888888889,-0.00564290123457
0.65,0.189018,0.00100944444444,-0.0222910493827
0.7,0.189122,-0.00162,-0.0197552469136
0.75,0.188742,-0.00223722222222,0.00538179012346
0.8,0.188759,-0.000338333333333,0.0182907407407
0.85,0.188776,0.000635,0.0116848765432
0.9,0.188863,0.000904444444444,0.000121913580248
0.95,0.18888,0.000509444444445,-0.00970092592593
1,0.188915,-1.22222222222E-005,-0.0173694444444
1.05,0.188966,-0.00186611111111,-0.0121049382716
1.1,0.188638,-0.00204666666667,0.00719320987654
1.15,0.188655,-0.000396666666667,0.0135166666667
1.2,0.188672,0.000143888888889,0.00501018518519
1.25,0.188724,-0.000236111111111,0.000945061728396
1.3,0.188621,-0.000287222222222,0.0058762345679
1.35,0.188655,0.000428888888889,0.00978888888889
1.4,0.188672,0.00105777777778,0.00570802469136
1.45,0.188759,0.00145388888889,-0.00713086419753
1.5,0.18888,0.000588888888889,-0.0220592592593
1.55,0.188915,-0.001815,-0.0164663580247
1.6,0.188586,-0.00217111111111,0.00900555555556
1.65,0.188569,-0.000171111111111,0.0216564814815
1.7,0.188621,0.00113333333333,0.0127169753086
1.75,0.188742,0.00123555555556,-0.000472222222222
1.8,0.188776,0.000678888888889,-0.00628302469136
1.85,0.188828,-0.000134444444444,0.000439814814814
1.9,0.188638,0.000958888888889,0.0035774691358
1.95,0.188966,0.00137277777778,-0.0112089506173
2,0.188949,-0.00100666666667,-0.0119635802469
2.05,0.188707,-0.000833333333333,0.00434814814815
2.1,0.188811,0.000289444444445,0.00786666666667
2.15,0.188828,0.000194444444444,0.00648240740741
2.2,0.188794,0.000655555555555,0.00662777777778
2.25,0.188863,0.00129611111111,-0.000644444444444
2.3,0.188984,0.000978333333333,-0.0128888888889
2.35,0.189053,-0.000885,-0.00990895061728
2.4,0.188759,-0.000537222222222,0.00284012345679
2.45,0.188984,0.000202777777778,0.00300092592593
2.5,0.188863,-0.000260555555556,0.00168981481482
2.55,0.18888,0.000335,-0.000414814814814
2.6,0.188932,0.00023,-0.00962901234568
2.65,0.189001,-0.001335,-0.00590154320988
2.7,0.18869,-0.00108555555556,0.0101697530864
2.75,0.188828,0.000375555555555,0.0145811728395
2.8,0.188794,0.000835,0.00938641975309
2.85,0.188897,0.00143055555556,-0.000210493827159
2.9,0.188984,0.000894444444445,-0.0106453703704
2.95,0.189001,0.000125555555556,-0.0145549382716
3,0.189036,-0.00124944444444,-0.00527407407407
3.05,0.188776,-0.000787777777778,0.0111024691358
3.1,0.188915,0.000586111111111,0.0135462962963
3.15,0.18888,0.00108222222222,0.00520956790123
3.2,0.189018,0.00148888888889,-0.00918240740741
3.25,0.189174,-0.000536111111111,-0.0103580246914
3.3,0.188863,-0.000752222222222,0.00885092592593
3.35,0.188966,0.00126388888889,0.0116108024691
3.4,0.189087,0.00156666666667,-0.00602654320988
3.45,0.189191,0.000580555555556,-0.0220638888889
3.5,0.189226,-0.00183166666667,-0.0163030864198
3.55,0.18888,-0.00199555555556,0.00712993827161
3.6,0.188915,-0.000103888888889,0.0138317901235
3.65,0.188984,0.000115,0.0055537037037
3.7,0.188915,0.000247222222222,-0.00177098765432
3.75,0.189001,0.000246111111111,-0.0120416666667
3.8,0.18907,-0.00172,-0.00721759259259
3.85,0.188707,-0.001515,0.0145422839506
3.9,0.188794,0.000816111111111,0.0167524691358
3.95,0.188897,0.00126666666667,-0.000780555555555
4,0.188984,0.000536666666667,-0.0148925925926
4.05,0.189018,-0.00140444444444,-0.00767345679012
4.1,0.188707,-0.000941666666667,0.0127469135802
4.15,0.188845,0.000991666666667,0.0135953703704
4.2,0.188915,0.00113388888889,-6.97530864203E-005
4.25,0.188966,0.000854444444444,-0.0123990740741
4.3,0.189053,-0.000448333333333,-0.0165336419753
4.35,0.188932,-0.001775,-0.00220895061728
4.4,0.188742,-0.00072,0.0130617283951
4.45,0.188863,0.000457777777778,0.0108092592593
4.5,0.188828,0.000792777777778,-0.000536728395062
4.55,0.188966,0.000547222222222,-0.0130410493827
4.6,0.189001,-0.00157333333333,-0.00601327160494
4.65,0.188655,-0.000986111111111,0.0163228395062
4.7,0.188794,0.00143277777778,0.0140407407407
4.75,0.188932,0.00151388888889,-0.00803648148148
4.8,0.189018,0.000218888888889,-0.0236580555556
4.85,0.189001,-0.00205611111111,-0.0176075
4.9,0.188672,-0.001904,-0.00366342592592
4.95,0.188794,-0.00143027777778,-0.00480006172839
5,0.188621,-0.00232222222222,-0.0106091975309
