"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.190456,0.000294444444444,-0.00163135802469
0.1,0.190491,4.72222222222E-005,0.00167117283951
0.15,0.190422,0.000346333333333,0.00418203703704
0.2,0.190508,0.000895555555556,0.000166172839506
0.25,0.190578,0.000385555555556,-0.00407444444445
0.3,0.190543,-2.27777777779E-005,-0.000908148148149
0.35,0.190508,0.000450555555555,2.83950617286E-005
0.4,0.190612,0.000665555555556,-0.00949938271605
0.45,0.190699,-0.00118333333333,-0.00849228395062
0.5,0.190335,-0.000541666666667,-0.00103333333333
0.55,0.190681,-0.000451666666667,-0.00570617283951
0.6,0.190387,-0.00173722222222,-0.000157716049384
0.65,0.19037,-0.000786111111111,0.00962469135802
0.7,0.190318,-3.72222222223E-005,0.00789320987654
0.75,0.190422,2.94444444445E-005,0.00501820987654
0.8,0.190318,3.94444444445E-005,0.00708364197531
0.85,0.190353,0.00108611111111,0.00307962962963
0.9,0.190491,0.000988888888889,-0.0109024691358
0.95,0.190543,-0.000623888888889,-0.014624382716
1,0.190353,-0.00107888888889,-0.00879783950617
1.05,0.190387,-0.00085,-0.013512037037
1.1,0.190335,-0.00186611111111,-0.0253314814815
1.15,0.190283,-0.00415,-0.0204688271605
1.2,0.189903,-0.00566944444444,0.0151787037037
1.25,0.18947,-0.00274888888889,0.0502864197531
1.3,0.189522,0.00200388888889,0.0377506172839
1.35,0.189938,0.00225166666667,0.00139567901234
1.4,0.189851,0.000384444444444,-0.00661172839506
1.45,0.189834,0.000634444444444,0.00421018518519
1.5,0.189903,0.00126777777778,0.0091512345679
1.55,0.189955,0.00211333333333,0.00230555555556
1.6,0.190145,0.00204722222222,-0.0145780864198
1.65,0.190249,0.000425555555556,-0.0251604938272
1.7,0.190232,-0.00185388888889,-0.0105182098765
1.75,0.189886,-0.00105111111111,0.0128175925926
1.8,0.190093,0.000582222222222,0.0170913580247
1.85,0.190041,0.000865555555556,0.0149552469136
1.9,0.190128,0.00187388888889,0.0122441358025
1.95,0.190214,0.00275666666667,-0.00237222222222
2,0.190491,0.00201722222222,-0.0214234567901
2.05,0.190508,-0.000336666666667,-0.0218141975309
2.1,0.190387,-0.00137111111111,0.000283024691358
2.15,0.190249,-0.000121666666667,0.0193209876543
2.2,0.190353,0.00173833333333,0.0152660493827
2.25,0.190491,0.00216777777778,-0.00476388888889
2.3,0.190629,0.00129666666667,-0.0242037037037
2.35,0.190733,-0.00146611111111,-0.0203086419753
2.4,0.190353,-0.00193777777778,0.00582561728395
2.45,0.190405,4.49999999999E-005,0.0167975308642
2.5,0.190456,0.000661111111111,0.00948765432099
2.55,0.190474,0.000960555555556,2.06790123466E-005
2.6,0.19056,0.000862222222222,-0.0106774691358
2.65,0.190681,-0.00102833333333,-0.00377314814815
2.7,0.190318,-0.000490555555556,0.0190790123457
2.75,0.190508,0.00218055555556,0.0188537037037
2.8,0.190681,0.00238444444444,0.000324691358025
2.85,0.190785,0.00185611111111,-0.0141932098765
2.9,0.190906,0.000270555555556,-0.0166089506173
2.95,0.190716,0.000192777777778,-0.015250308642
3,0.19101,-0.00105,-0.0150959876543
3.05,0.190629,-0.00244222222222,0.00369197530864
3.1,0.19056,-0.000286111111111,0.0150419753086
3.15,0.190716,6.83333333333E-005,0.00757067901235
3.2,0.19056,0.000414444444444,-0.00117314814815
3.25,0.190768,0.00028,-0.0143814814815
3.3,0.190716,-0.00189444444444,-0.0107367283951
3.35,0.190439,-0.00163388888889,0.00728179012346
3.4,0.190491,-0.000286111111111,0.00991327160494
3.45,0.190474,6.88888888889E-005,-0.00131975308642
3.5,0.190526,-0.00032,-0.0148484567901
3.55,0.190508,-0.00192444444444,-0.0172731481481
3.6,0.190318,-0.00309333333333,0.000310185185185
3.65,0.190076,-0.00199944444444,0.0203614197531
3.7,0.190093,-0.000212777777778,0.0244759259259
3.75,0.190093,0.000980555555555,0.0156234567901
3.8,0.190197,0.00169055555556,-0.000681172839505
3.85,0.190335,0.000960555555556,-0.0155299382716
3.9,0.19037,-0.000981111111111,-0.00939907407407
3.95,0.19011,-0.000740555555555,0.0103268518519
4,0.190214,0.00104166666667,0.0125509259259
4.05,0.190301,0.00131888888889,-0.000767901234568
4.1,0.19037,0.000998888888889,-0.0150052469136
4.15,0.190491,-0.000922777777778,-0.0152314814815
4.2,0.190197,-0.00143166666667,0.00153641975309
4.25,0.190249,-0.000155,0.00877561728395
4.3,0.190266,-7.83333333333E-005,0.00650617283951
4.35,0.190214,0.000406111111111,0.00268024691358
4.4,0.190301,0.000628333333333,-0.00846018518519
4.45,0.190353,-0.000441666666667,-0.0168290123457
4.5,0.190301,-0.00210722222222,-0.00600987654321
4.55,0.190024,-0.00166666666667,0.015237037037
4.6,0.190041,0.000467777777778,0.0174240740741
4.65,0.190162,0.001095,-0.0004
4.7,0.190214,0.00027,-0.0160694444444
4.75,0.190214,-0.001065,-0.0194954320988
4.8,0.190145,-0.00285222222222,-0.00125682098765
4.85,0.18973,-0.00119166666667,0.0173227469136
4.9,0.190041,0.000336,0.010850462963
4.95,0.189903,-0.000225277777778,0.00526043209877
5,0.189938,0.000237777777778,0.00589141975308
