"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.189975,-0.000975555555555,-0.013442037037
0.1,0.189958,-0.00177027777778,-0.00149453703704
0.15,0.189889,-0.00278566666667,0.0314443518519
0.2,0.189508,-0.000490555555556,0.0966929938272
0.25,0.189612,0.00679833333333,0.168123796296
0.3,0.190079,0.0171583333333,0.222371358025
0.35,0.191222,0.03003,0.252880246914
0.4,0.193057,0.0435655555556,0.258491975309
0.45,0.195637,0.0562294444444,0.254124074074
0.5,0.198685,0.0687355555556,0.250636419753
0.55,0.202477,0.0815572222222,0.24102037037
0.6,0.206875,0.09347,0.221906790123
0.65,0.211932,0.103512222222,0.209268209877
0.7,0.217265,0.112943888889,0.222660185185
0.75,0.223048,0.125441666667,0.242566666667
0.8,0.229784,0.1385,0.240447839506
0.85,0.237005,0.149890555556,0.229278703704
0.9,0.24478,0.16095,0.224055246914
0.95,0.253074,0.17226,0.219409567901
1,0.262026,0.183140555556,0.210557407407
1.05,0.271411,0.193494444444,0.197996296296
1.1,0.28142,0.202910555556,0.184997839506
1.15,0.291705,0.211902222222,0.174806481481
1.2,0.302631,0.220486666667,0.166304938272
1.25,0.313852,0.227547777778,0.176562654321
1.3,0.325228,0.237447222222,0.198786111111
1.35,0.33754,0.248423333333,0.202878703704
1.4,0.350128,0.258515,0.190667592593
1.45,0.363427,0.267752222222,0.170563580247
1.5,0.376968,0.275445,0.15319537037
1.55,0.390976,0.282796111111,0.146488580247
1.6,0.405314,0.288973333333,0.170499074074
1.65,0.419842,0.297405,0.238314814815
1.7,0.434802,0.311481111111,0.304009259259
1.75,0.450283,0.335062222222,0.225212962963
1.8,0.468984,0.345043333333,-0.0345447530864
1.85,0.486663,0.322887777778,-0.134361728395
1.9,0.500325,0.315848333333,0.0483012345679
1.95,0.516931,0.331692777778,0.186892283951
2,0.533987,0.342493333333,0.190382716049
2.05,0.551389,0.350409444444,0.175005246914
2.1,0.568895,0.359079444444,0.166184567901
2.15,0.587319,0.367433333333,0.154521296296
2.2,0.605726,0.374361111111,0.145150617284
2.25,0.624687,0.382006666667,0.13440308642
2.3,0.643994,0.388305,0.11779537037
2.35,0.66363,0.392843888889,0.118564197531
2.4,0.683162,0.399278333333,0.134113888889
2.45,0.703473,0.407178333333,0.133550308642
2.5,0.723975,0.413501666667,0.11552808642
2.55,0.744858,0.418811666667,0.0943787037037
2.6,0.765914,0.422782222222,0.0786302469136
2.65,0.787212,0.425582777778,0.0842564814815
2.7,0.808355,0.430421666667,0.103737962963
2.75,0.830155,0.437012777778,0.104534567901
2.8,0.852164,0.441805,0.0870512345679
2.85,0.87438,0.445601666667,0.0690145061728
2.9,0.896752,0.448437777778,0.0573712962963
2.95,0.919245,0.450926666667,0.0575891975309
3,0.941876,0.453211111111,0.0766867283951
3.05,0.964422,0.458137777778,0.102847839506
3.1,0.98759,0.464897222222,0.103500617284
3.15,1.011053,0.469359444444,0.086087654321
3.2,1.03455,0.473090555556,0.0733580246914
3.25,1.058359,0.476594444444,0.0632432098766
3.3,1.082272,0.479058888889,0.0593913580247
3.35,1.106185,0.482582222222,0.0546737654321
3.4,1.130566,0.485351666667,0.0380237654321
3.45,1.154877,0.485590555556,0.0356768518519
3.5,1.178998,0.48788,0.0509984567901
3.55,1.203586,0.491498888889,0.0538209876543
3.6,1.228244,0.493772222222,0.0464487654321
3.65,1.252954,0.495942777778,0.0399808641975
3.7,1.277819,0.498142777778,0.028862962963
3.75,1.302892,0.498415,0.0265608024691
3.8,1.327602,0.499762222222,0.040575308642
3.85,1.352727,0.503232222222,0.0419317901235
3.9,1.378025,0.505138333333,0.0247222222222
3.95,1.403393,0.504636666667,0.0240475308642
4,1.428327,0.50657,0.0395089506173
4.05,1.453972,0.509851666667,0.0358234567901
4.1,1.479495,0.510304444444,0.029850308642
4.15,1.504932,0.511915,0.0389811728395
4.2,1.530629,0.514175555556,0.054612345679
4.25,1.556395,0.516980555556,0.0774052469136
4.3,1.582299,0.520509444444,0.110770679012
4.35,1.607909,0.531948888889,0.0705734567901
