"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.188219,0.00242777777778,0.00105944444444
0.1,0.188306,0.00278472222222,-0.00426731481481
0.15,0.188565,0.00216533333333,-0.0045387962963
0.2,0.188583,0.000956111111111,0.0184957098765
0.25,0.188514,0.00280611111111,0.0597323148148
0.3,0.188652,0.00838833333333,0.0672044444444
0.35,0.189361,0.0131422222222,0.00563641975309
0.4,0.190348,0.0104822222222,-0.081937037037
0.45,0.190746,0.00153,-0.105490740741
0.5,0.190279,-0.003915,-0.0542283950617
0.55,0.190036,-0.00326055555556,-0.00738271604938
0.6,0.190002,-0.00271166666667,0.00352037037037
0.65,0.189742,-0.00177222222222,-0.0102796296296
0.7,0.189984,-0.00373,-0.0250459876543
0.75,0.189396,-0.00608333333333,-0.00698302469136
0.8,0.189171,-0.004785,0.019150308642
0.85,0.188929,-0.00332333333333,0.0306419753086
0.9,0.188808,-0.00113277777778,0.028587345679
0.95,0.18886,6.66666666668E-005,0.0148694444444
1,0.188877,0.000105555555556,0.00478827160494
1.05,0.18886,0.000192222222222,-5.21604938275E-005
1.1,0.188877,0.000288333333333,-0.00704320987654
1.15,0.188912,-9.77777777777E-005,-0.0176148148148
1.2,0.188998,-0.00237833333333,-0.0117037037037
1.25,0.188548,-0.00254944444444,0.0152962962963
1.3,0.188548,0.000623888888889,0.0182280864198
1.35,0.188842,0.000183888888889,0.0045012345679
1.4,0.188548,-4.33333333333E-005,0.00691450617284
1.45,0.188739,0.00110777777778,0.00607839506173
1.5,0.188756,0.000757222222222,0.00346512345679
1.55,0.188773,0.00118166666667,0.00424660493827
1.6,0.188877,0.00136666666667,0.00117716049383
1.65,0.188912,0.00152611111111,-0.00600987654321
1.7,0.189067,0.000860555555556,-0.014737962963
1.75,0.189015,-0.000183333333333,-0.0173895061728
1.8,0.189067,-0.00141055555556,-0.00903611111111
1.85,0.188825,-0.00163,0.00907962962963
1.9,0.188808,-2.61111111111E-005,0.0178688271605
1.95,0.18886,0.000941111111111,0.011387037037
2,0.188929,0.00137055555556,-0.000633024691359
2.05,0.189067,0.000497222222222,-0.00634320987654
2.1,0.188946,0.000134444444444,-0.00165802469136
2.15,0.189015,0.000743888888889,-0.00307654320988
2.2,0.189085,0.000272777777778,-0.0102543209877
2.25,0.189102,-0.00097,-0.00611697530864
2.3,0.188912,-0.00101055555556,0.0080274691358
2.35,0.188877,0.000899444444444,0.00554166666667
2.4,0.189171,0.000207222222222,-0.00706635802469
2.45,0.188963,-0.001435,0.00562407407407
2.5,0.18879,0.000682777777778,0.0186438271605
2.55,0.189067,0.00224055555556,0.00120462962963
2.6,0.189188,0.000809444444444,-0.0175138888889
2.65,0.189119,-0.000428333333333,-0.0197425925926
2.7,0.189154,-0.00178444444444,-0.00834969135802
2.75,0.18886,-0.00153833333333,0.00923456790123
2.8,0.188946,-0.000172222222222,0.0143459876543
2.85,0.188912,0.000146111111111,0.012675
2.9,0.188912,0.00119833333333,0.00614845679012
2.95,0.189067,0.00128611111111,-0.00960987654321
3,0.189102,0.000222222222222,-0.0227836419753
3.05,0.189154,-0.00191444444444,-0.018075308642
3.1,0.188825,-0.00250333333333,0.00416604938272
3.15,0.18879,-0.000954444444444,0.0185614197531
3.2,0.18879,-8.55555555555E-005,0.0223663580247
3.25,0.188773,0.00106833333333,0.0257416666667
3.3,0.188842,0.00292444444444,0.0179216049383
3.35,0.189102,0.00385666666667,-0.00856111111111
3.4,0.189344,0.00230833333333,-0.0369608024691
3.45,0.189431,-0.000972222222222,-0.040812654321
3.5,0.18924,-0.00382888888889,-0.00650586419753
3.55,0.188773,-0.00174111111111,0.0301475308642
3.6,0.189015,0.00149,0.0259191358025
3.65,0.189119,0.00152111111111,0.0063787037037
3.7,0.189171,0.00122388888889,-0.00101820987654
3.75,0.189206,0.00116388888889,-0.00321820987654
3.8,0.189275,0.00133277777778,-0.0109716049383
3.85,0.189413,0.000112777777778,-0.017962345679
3.9,0.189292,-0.00105777777778,-0.0134330246914
3.95,0.189292,-0.00192277777778,0.00331666666667
4,0.188963,-0.000333333333333,0.0138188271605
4.05,0.189327,0.000302777777778,0.00841049382716
4.1,0.189033,0.000212777777778,0.00525401234568
4.15,0.189275,0.001145,-0.00446358024691
4.2,0.189258,-3.72222222223E-005,-0.0157978395062
4.25,0.189258,-0.000933888888889,-0.0160327160494
4.3,0.189206,-0.00240777777778,-0.00170586419753
4.35,0.188894,-0.00156166666667,0.0202740740741
4.4,0.188963,0.000808888888889,0.021100617284
4.45,0.189102,0.00118611111111,0.00922932098765
4.5,0.189102,0.00114611111111,0.00393734567901
4.55,0.189154,0.00165555555556,-0.00207345679012
4.6,0.18931,0.00151833333333,-0.0148864197531
4.65,0.189448,-0.000827777777778,-0.0117796296296
4.7,0.189033,-0.000231666666667,0.000990432098766
4.75,0.189396,0.000873888888889,-0.00999925925926
4.8,0.189379,-0.00196222222222,-0.00852015432099
4.85,0.188998,-0.001435,0.0155361419753
4.9,0.189119,0.000916333333333,0.0178976851852
4.95,0.18924,0.00117194444444,0.00775197530864
5,0.189258,0.000932222222222,0.00028598765432
