"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.185369,0.00244555555556,0.0567452469136
0.1,0.185456,0.00433361111111,0.0885982716049
0.15,0.185611,0.00867533333333,0.141542314815
0.2,0.186061,0.0178344444444,0.204786450617
0.25,0.187272,0.0303477777778,0.249504537037
0.3,0.189087,0.0437472222222,0.272932530864
0.35,0.191629,0.0577683333333,0.288159259259
0.4,0.194794,0.0729477777778,0.293582407407
0.45,0.198944,0.0878288888889,0.28635
0.5,0.203665,0.101272777778,0.283384567901
0.55,0.209009,0.115674444444,0.287933024691
0.6,0.2152,0.130533888889,0.284593518519
0.65,0.222117,0.144492222222,0.27434691358
0.7,0.229674,0.157887222222,0.263532407407
0.75,0.237906,0.170893888889,0.25232037037
0.8,0.246794,0.183258888889,0.241888271605
0.85,0.256323,0.194242777778,0.247694135802
0.9,0.266111,0.207113888889,0.269462345679
0.95,0.276919,0.222071111111,0.276174382716
1,0.288419,0.23551,0.267297839506
1.05,0.300472,0.248717777778,0.256970061728
1.1,0.313303,0.261382777778,0.244279012346
1.15,0.326688,0.272752222222,0.239882716049
1.2,0.34054,0.284761666667,0.245527777778
1.25,0.355101,0.297708333333,0.243855246914
1.3,0.370353,0.309917222222,0.228183641975
1.35,0.386176,0.320459444444,0.213042901235
1.4,0.402397,0.330800555556,0.207106481481
1.45,0.419293,0.340606111111,0.213042901235
1.5,0.436395,0.351595555556,0.227912654321
1.55,0.454363,0.364145,0.22936882716
1.6,0.472901,0.375182777778,0.218403395062
1.65,0.491906,0.385705555556,0.210357098765
1.7,0.511465,0.396081111111,0.204388888889
1.75,0.531525,0.406230555556,0.197197839506
1.8,0.552103,0.415896666667,0.189029012346
1.85,0.573132,0.425178333333,0.182711728395
1.9,0.594696,0.433380555556,0.191519444444
1.95,0.616364,0.443529444444,0.213689197531
2,0.638932,0.455710555556,0.219130246914
2.05,0.662035,0.466363888889,0.207572839506
2.1,0.685623,0.476010555556,0.201622530864
2.15,0.709591,0.486212777778,0.201165740741
2.2,0.734251,0.496261666667,0.200383024691
2.25,0.759222,0.506156666667,0.204231790123
2.3,0.784902,0.516170555556,0.21316882716
2.35,0.81079,0.527078333333,0.21215462963
2.4,0.837249,0.541851111111,0.128135493827
2.45,0.865592,0.544853333333,-0.0265799382716
2.5,0.892759,0.530925,-0.0283546296296
2.55,0.917765,0.532562222222,0.139758641975
2.6,0.945123,0.55021,0.228343209877
2.65,0.973276,0.561583333333,0.206975925926
2.7,1.001533,0.569661666667,0.180178703704
2.75,1.030049,0.578471111111,0.157293209877
2.8,1.059067,0.59069,0.0627037037037
2.85,1.090367,0.583453888889,0.0024262345679
2.9,1.117292,0.578471111111,0.144259567901
2.95,1.146379,0.603176666667,0.198074382716
3,1.178735,0.609882222222,0.0590635802469
3.05,1.208185,0.603056666667,0.00897129629629
3.1,1.238344,0.605715555556,0.0460385802469
3.15,1.268745,0.609115,0.0727283950617
3.2,1.299215,0.614304444444,0.0732703703704
3.25,1.330187,0.618254444444,0.039187037037
3.3,1.361297,0.6179,0.0169348765432
3.35,1.392096,0.616135,0.0612462962963
3.4,1.422411,0.622832222222,0.125997530864
3.45,1.454196,0.633089444444,0.117668209877
3.5,1.486205,0.635652777778,0.0866907407407
3.55,1.517661,0.639201666667,0.0992135802469
3.6,1.550017,0.645117777778,0.123577469136
3.65,1.582268,0.650311666667,0.159663580247
3.7,1.61445,0.664565,0.115929320988
